nohup: ignoring input
[21:49:35.313] Namespace(data='brain', snapshot_path='./work_dir/ped0213/brain', data_prefix='/data/pyhData/MedSAM-MedSAM2/data/npz_train/BraTS-PED', rand_crop_size=(256, 256, 256), device_ids='0,1', batch_size=1, num_classes=2, lr=0.0004, max_epoch=50, eval_interval=4, resume=False, num_worker=6, tolerance=5)
/home/pyh/.conda/envs/sam2_in_med/lib/python3.10/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.croppad.dictionary CropForegroundd.__init__:allow_smaller: Current default value of argument `allow_smaller=True` has been deprecated since version 1.2. It will be changed to `allow_smaller=False` in version 1.5.
  warn_deprecated(argname, msg, warning_category)
[21:57:01.669] epoch: 0/50, iter: 250/252: loss:0.39771602
[21:57:03.270] epoch: 0/50, iter: 251/252: loss:0.30117127
[21:57:03.504] - Train metrics: 0.40732315
seg:  metatensor(60213.)
seg:  metatensor(30922.)
seg:  metatensor(147069.)
seg:  metatensor(14223.)
seg:  metatensor(76949.)
seg:  metatensor(56450.)
seg:  metatensor(20827.)
seg:  metatensor(24108.)
seg:  metatensor(35599.)
seg:  metatensor(154643.)
seg:  metatensor(32530.)
seg:  metatensor(22982.)
seg:  metatensor(10291.)
seg:  metatensor(154643.)
seg:  metatensor(169633.)
seg:  metatensor(31458.)
seg:  metatensor(53931.)
seg:  metatensor(119482.)
seg:  metatensor(27747.)
seg:  metatensor(76675.)
seg:  metatensor(24108.)
seg:  metatensor(11569.)
seg:  metatensor(67108.)
seg:  metatensor(154643.)
seg:  metatensor(17245.)
seg:  metatensor(17493.)
seg:  metatensor(102514.)
seg:  metatensor(36742.)
seg:  metatensor(24178.)
seg:  metatensor(119499.)
seg:  metatensor(20271.)
seg:  metatensor(138032.)
seg:  metatensor(17527.)
seg:  metatensor(29101.)
seg:  metatensor(75869.)
seg:  metatensor(21348.)
seg:  metatensor(43164.)
seg:  metatensor(968.)
seg:  metatensor(29392.)
seg:  metatensor(32531.)
seg:  metatensor(12712.)
seg:  metatensor(108919.)
seg:  metatensor(41270.)
seg:  metatensor(35599.)
seg:  metatensor(22982.)
seg:  metatensor(168512.)
seg:  metatensor(33904.)
seg:  metatensor(114301.)
seg:  metatensor(39997.)
seg:  metatensor(161040.)
seg:  metatensor(20025.)
seg:  metatensor(44598.)
seg:  metatensor(78984.)
seg:  metatensor(114323.)
seg:  metatensor(139820.)
seg:  metatensor(161010.)
